Seed	Scenario	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	grid	3022	6548	3362	51.34	3.68	19.19	237121	0
200	grid	3040	6539	3335	51.00	3.63	24.90	242749	0
300	grid	3087	6571	3332	50.71	3.61	22.29	237248	0
400	grid	2999	6538	3425	52.39	3.71	26.11	242645	0
500	grid	3025	6500	3317	51.03	3.70	30.84	236763	0
600	grid	3038	6540	3342	51.10	3.59	23.25	240296	0
700	grid	3044	6541	3381	51.69	3.63	19.10	241429	0
800	grid	3055	6591	3388	51.40	3.66	20.09	242218	0
900	grid	3085	6486	3282	50.60	3.68	21.51	248446	0
1000	grid	3085	6529	3283	50.28	3.67	22.57	243330	0
