Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	4305	10686	6232	58.32	3.84	40.61	443548	0
200	4402	10658	6115	57.37	3.75	38.43	436710	0
300	4475	10688	6052	56.62	3.78	40.27	434319	0
400	4609	10622	5865	55.22	3.68	50.45	430826	0
500	4477	10711	6068	56.65	3.78	48.50	447548	0
600	4379	10298	5747	55.81	3.92	46.54	442301	0
700	4474	10764	6121	56.87	3.86	48.25	443264	0
800	4442	10731	6134	57.16	3.76	44.57	433829	0
900	4462	10733	6108	56.91	3.85	32.41	436898	0
1000	4539	10583	5890	55.66	3.95	41.73	442564	0
